customer_id,customer_name,email,phone,city,state,country,signup_date,gender,customer_segment
1,Tracy Jordan,leejill@gmail.com,(272)095-2318x75532,South Juan,Massachusetts,India,2023-05-30,Male,Premium
2,Joshua Garcia,ujones@schneider.biz,(851)876-9718,Hunterbury,Indiana,India,2023-07-27,Female,Wholesale
3,Grace Johnson DDS,fcampbell@hotmail.com,+1-709-835-2039x0649,Richardside,Georgia,India,2023-10-25,Male,Regular
4,Shannon Bowman MD,zjohnson@myers.com,001-507-059-1952x1080,New Darryl,Washington,India,2024-09-17,Male,Regular
5,Gail Griffith,chase52@yahoo.com,+1-384-233-7310x6186,Lake Kyle,Virginia,India,2024-01-20,Male,Regular
6,Megan Jones,bwagner@yahoo.com,273.963.9440,Port Angelachester,Oregon,India,2023-08-10,Female,Regular
7,Jose Anderson,harristimothy@johnson-costa.info,+1-754-713-0615x7052,Grimesside,California,India,2023-06-22,Male,Regular
8,Terry Roberts,fitzpatrickjonathan@gonzalez.com,836.784.7993x1867,New Andreafort,Maine,India,2023-12-21,Male,Regular
9,Dalton Evans,jameswashington@gmail.com,001-499-108-3314x730,North Jamiebury,New Hampshire,India,2023-12-03,Male,Regular
10,Larry Gallegos,pjohnson@hotmail.com,573.853.2334x5754,Sosaberg,Florida,India,2024-12-19,Female,Premium
11,Eugene Alvarez,tammy16@gmail.com,257-769-1201,Baldwinview,South Carolina,India,2023-07-08,Male,Wholesale
12,Wanda Maxwell,pprice@parker.com,+1-821-600-7821,Marksburgh,Nevada,India,2024-04-08,Male,Regular
13,Stephanie Stewart,larsoncolton@thornton-king.net,+1-020-046-9664x0947,Lake Brad,Oregon,India,2023-11-14,Male,Premium
14,John Freeman,eknight@hotmail.com,783.305.1638x98090,New Joeland,Florida,India,2023-04-21,Male,Premium
15,Rachel Parker,brownmatthew@brown.com,(464)622-4039x212,Lake Alexis,Delaware,India,2025-01-13,Female,Wholesale
16,Andrew Hart,wellschristina@benitez.org,(012)614-1296x9402,North Brendaborough,Maryland,India,2024-07-22,Male,Regular
17,David May,heather53@gmail.com,(962)721-7746x634,Brandiburgh,Oregon,India,2025-06-18,Female,Wholesale
18,Mary Larsen,wharris@yahoo.com,964.406.3896,North Johnland,Texas,India,2024-04-04,Female,Regular
19,Andre Ford,malonejoshua@hotmail.com,455-117-6821,Port Donaldfort,Georgia,India,2025-07-04,Female,Premium
20,John Zuniga,nsmith@gmail.com,(830)005-5835x1155,Sanchezton,Missouri,India,2023-09-13,Male,Premium
21,Jason Waller,ckelly@kramer.com,2310849486,Port Sylvia,Nevada,India,2022-12-27,Female,Premium
22,Kelly Ellis,amanda17@gmail.com,083.512.7341x9995,North Heidi,North Carolina,India,2024-01-28,Male,Premium
23,Samuel Newman,qporter@gmail.com,188-437-0368x666,Lake Ashley,New York,India,2023-04-12,Female,Wholesale
24,Laura Perry,wreynolds@yahoo.com,(482)317-3933x922,Port Christineland,South Dakota,India,2023-03-02,Female,Regular
25,Morgan Richardson,bradymartinez@jones.com,(420)932-9542x605,Haleytown,Delaware,India,2025-02-07,Female,Regular
26,Adam Ross,bondbrandon@gmail.com,752-163-9882x722,Samanthaport,Texas,India,2025-01-28,Female,Wholesale
27,Lisa Davis,michaelallen@hotmail.com,001-928-412-5589x69358,West Paula,Oregon,India,2023-07-02,Female,Regular
28,Andrew Boone,vickiechristensen@gmail.com,(917)023-5747,Port Anthonyport,New Jersey,India,2024-01-04,Female,Premium
29,Mike Mcdonald,williamsjodi@sanchez.com,364-112-6211,South Jillian,Montana,India,2023-06-06,Female,Regular
30,Andrea Wright,georgeburch@gmail.com,385.830.5986x6188,West Anthony,Massachusetts,India,2023-07-05,Female,Premium
31,Deborah Wiley,danielashley@hotmail.com,824.724.7871x747,West Douglas,Kentucky,India,2024-06-30,Male,Wholesale
32,Melissa Morales,wilsongerald@gmail.com,001-149-868-1724x24310,Jessicafurt,Delaware,India,2025-06-27,Male,Regular
33,Robert Erickson,colemancameron@williams-meyer.com,(845)120-7503,Fernandomouth,Iowa,India,2024-11-30,Female,Wholesale
34,Bruce Davis,tsanchez@sullivan-williams.com,846.864.7728x220,New Christinaville,Mississippi,India,2023-07-30,Female,Regular
35,Michael Fleming,newmanryan@cross.biz,(465)463-4976x2255,East Yolandaland,Connecticut,India,2025-08-12,Female,Premium
36,Susan Ho,milesmathew@yahoo.com,(106)272-2016x7905,Michaelside,Nebraska,India,2025-09-16,Male,Wholesale
37,Patrick Jones,htrevino@bailey.net,942.970.0257,West Laurenbury,Oregon,India,2023-02-05,Female,Regular
38,Dustin Perez,vperry@hotmail.com,129.771.7979x382,East Christian,Oregon,India,2025-05-12,Male,Premium
39,Brandon Moore,margaret17@hotmail.com,+1-069-768-6754x8291,Lake Juliefort,North Dakota,India,2024-10-20,Male,Wholesale
40,Alyssa Henderson,hilldarlene@ramirez.com,314-625-7986,Lake Michaelberg,Missouri,India,2025-05-15,Male,Wholesale
41,Gregory Simpson,brianaallison@gmail.com,570.368.0649,East Erika,Florida,India,2023-10-01,Male,Regular
42,Mrs. Deborah Cantrell MD,uconley@yahoo.com,681.240.5620x3687,Kellyville,New Jersey,India,2025-03-06,Male,Regular
43,Leslie Morales,michael01@cruz.com,049.003.4063,Travisberg,New Jersey,India,2024-09-02,Female,Regular
44,Patricia Phelps,crystal91@hotmail.com,001-866-059-8781x35198,Hawkinsfurt,Wyoming,India,2024-09-25,Female,Premium
45,Yvonne Barrett,xroth@hotmail.com,(220)085-4531x16183,Walshhaven,Iowa,India,2024-10-10,Female,Regular
46,James Banks,barbaralarson@johnson-marsh.com,(328)567-9754x6035,East Tabitha,Iowa,India,2025-11-23,Female,Wholesale
47,Michael Brown,michelleskinner@martin.org,1743523926,North Christopher,Florida,India,2023-06-06,Female,Wholesale
48,Debbie Simmons,lmiller@mack.com,8105909144,New Seanport,Vermont,India,2023-08-08,Male,Regular
49,Cathy Allen,perezchristie@case-watson.com,+1-415-260-1398,West Stevenfurt,Connecticut,India,2024-01-10,Female,Regular
50,Charles Armstrong,jchandler@hotmail.com,(197)873-4361x8132,East Ericstad,South Carolina,India,2023-01-17,Female,Wholesale
51,Mrs. Lori Ferguson,lewisjason@ellis-galloway.biz,001-881-338-1187x349,Hendersonborough,Massachusetts,India,2023-10-22,Male,Premium
52,Tiffany Ashley,nwilliams@hotmail.com,001-746-819-0931,Millerfort,New Hampshire,India,2023-03-15,Female,Regular
53,William Miller,ryancurtis@yahoo.com,(768)263-0904,Donnatown,Oklahoma,India,2024-03-21,Male,Regular
54,Peter Haley,jessicanguyen@gmail.com,(877)919-7089x491,New Kelly,South Carolina,India,2024-01-03,Female,Wholesale
55,Katherine Pope,tonywilliams@hotmail.com,001-543-787-1576x1822,Lake Dominique,Kentucky,India,2024-12-21,Male,Regular
